"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","LineCode","Description","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",3191960,3436150,3640222,3925847,4311669,4700285,5019182,5279965,5775220,6274868,6667023,6758413,7223539,7623930,8170770,8731492,9139407,9635229,10247208,10971447
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","2","Population (persons) 1/",264400,262466,260239,260212,260737,262568,266087,269717,273346,279329,283987,287126,290323,291617,293671,297926,303133,308398,312601,318270
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",12072,13092,13988,15087,16536,17901,18863,19576,21128,22464,23477,23538,24881,26144,27823,29308,30150,31243,32780,34472
"11500","Anniston-Oxford, AL (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",972898,1069632,1144879,1219116,1341222,1403278,1470316,1525463,1607503,1703924,1759063,1851118,1951649,2005237,2073014,2183521,2248460,2324902,2463469,2470237
"11500","Anniston-Oxford, AL (Metropolitan Statistical Area)","2","Population (persons) 1/",120016,120814,122109,121249,121739,118644,117700,118092,117260,116381,116118,115247,115804,116324,116161,116790,116684,117254,117179,114910
"11500","Anniston-Oxford, AL (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",8106,8854,9376,10055,11017,11828,12492,12918,13709,14641,15149,16062,16853,17238,17846,18696,19270,19828,21023,21497
"11540","Appleton, WI (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",1543317,1685126,1781003,1907996,2132295,2283300,2448636,2607322,2776949,3026601,3206585,3368949,3694968,3897358,4188266,4432852,4715137,4937783,5226783,5606859
"11540","Appleton, WI (Metropolitan Statistical Area)","2","Population (persons) 1/",159892,160685,161454,162093,163293,164668,166459,168530,171443,173276,175333,177039,179533,182315,185813,188656,191586,194050,196776,199495
"11540","Appleton, WI (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",9652,10487,11031,11771,13058,13866,14710,15471,16198,17467,18289,19029,20581,21377,22540,23497,24611,25446,26562,28105
"11700","Asheville, NC (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",2349553,2649227,2822797,3096007,3450320,3685999,3931739,4225639,4605228,5040778,5377067,5661789,6102912,6523774,6861121,7389530,7799315,8430196,8983848,9300228
"11700","Asheville, NC (Metropolitan Statistical Area)","2","Population (persons) 1/",283635,285988,289085,289822,293506,296586,299050,300229,302741,305480,309502,315160,321240,328220,334878,341739,347921,354052,359909,365159
"11700","Asheville, NC (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",8284,9263,9765,10682,11756,12428,13147,14075,15212,16501,17373,17965,18998,19876,20488,21623,22417,23811,24961,25469
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",871547,998482,1081243,1209146,1326414,1435020,1576707,1680289,1845495,2051027,2202783,2289739,2414496,2575471,2747204,2968596,3188396,3347496,3591792,3758845
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","2","Population (persons) 1/",114324,117011,118289,120365,122473,124327,125434,128002,130586,133894,136914,139359,141899,144916,148953,151718,154977,158291,160330,163456
